Date,Transaction,Name,Memo,Amount
2023-10-02,DEBIT,MOBILE BANKING TRANSFER WITHDRAWAL [ANONYMIZED],Download from usbank.com.,-10.0
2023-10-02,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER KEIZER      OR,Download from usbank.com.0857,-9.4
2023-10-02,DEBIT,DEBIT PURCHASE -VISA 2MODA CENTER    PORTLAND    OR,Download from usbank.com.3650,-10.45
2023-10-02,DEBIT,DEBIT PURCHASE -VISA PORTLAND PARKING503-[ANONYMIZED] OR,Download from usbank.com.3650,-4.0
2023-10-02,DEBIT,DEBIT PURCHASE -VISA BLVD   *FACEBAR 503-403-8717OR,Download from usbank.com.0857,-89.6
2023-10-02,DEBIT,RECURRING DEBIT PURCHASE ABC*PHYSIQ FITNE503-[ANONYMIZED] OR,Download from usbank.com.3650,-49.99
2023-10-02,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE SALEM       OR,Download from usbank.com.3650,-25.15
2023-10-02,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER KEIZER      OR,Download from usbank.com.3650,-9.4
2023-10-02,DEBIT,DEBIT PURCHASE -VISA Nespresso BoutiqPortland    OR,Download from usbank.com.3650,-36.85
2023-10-02,DEBIT,DEBIT PURCHASE -VISA LULULEMON WASHINPORTLAND    OR,Download from usbank.com.0857,-38.05
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SEPHORA WASHINGTPORTLAND    OR,Download from usbank.com.0857,-21.0
2023-10-02,DEBIT,DEBIT PURCHASE SHELL SERVICE S BEAVERTON   OR,Download from usbank.com.3650,-49.68
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SQ *BRINY BRO?S Astoria     OR,Download from usbank.com.3650,-39.0
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SQ *HAPPY HOMESTAstoria     OR,Download from usbank.com.0857,-10.0
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SQ *WESTIMBER LLAstoria     OR,Download from usbank.com.0857,-8.0
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SQ *POLKA DONUTSAstoria     OR,Download from usbank.com.3650,-6.25
2023-10-02,DEBIT,DEBIT PURCHASE -VISA SP PATS PANTRY 503-[ANONYMIZED] OR,Download from usbank.com.0857,-19.1
2023-10-02,DEBIT,ELECTRONIC WITHDRAWAL TRAVELERS,Download from usbank.com.,-28.5
2023-10-03,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER KEIZER      OR,Download from usbank.com.3650,-9.4
2023-10-03,DEBIT,DEBIT PURCHASE -VISA FRED-MEYER #0355SALEM       OR,Download from usbank.com.3650,-3.79
2023-10-03,DEBIT,ELECTRONIC WITHDRAWAL PORTLAND GENERAL,Download from usbank.com.,-73.88
2023-10-04,DEBIT,DEBIT PURCHASE -VISA VITAMINSHOPPE783SALEM       OR,Download from usbank.com.3650,-74.99
2023-10-04,DEBIT,DEBIT PURCHASE -VISA AAA OR/ID MBR DU503-222-6747OR,Download from usbank.com.3650,-6.5
2023-10-04,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-4.9
2023-10-04,DEBIT,WEB AUTHORIZED PMT AppFolio Inc. F,Download from usbank.com.,-2.49
2023-10-04,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-103.71
2023-10-04,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-273.33
2023-10-04,DEBIT,WEB AUTHORIZED PMT Rushing Real Est,Download from usbank.com.,-1365.0
2023-10-05,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER KEIZER      OR,Download from usbank.com.3650,-17.4
2023-10-05,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-3.6
2023-10-05,DEBIT,DEBIT PURCHASE -VISA FRED-MEYER #0355SALEM       OR,Download from usbank.com.3650,-28.6
2023-10-05,DEBIT,DEBIT PURCHASE -VISA Amazon.com*T918KAmzn.com/bilWA,Download from usbank.com.3650,-15.29
